0.2689,0.65089,0.83274,0.58342,0.78476,0.84308,0.82208,0.1803
0.26848,0.65014,0.85215,0.57751,0.77649,0.83861,0.82208,0.17712
0.26797,0.65966,0.82362,0.5716,0.76455,0.80788,0.78625,0.17362
0.26745,0.66834,0.80837,0.56569,0.75261,0.79961,0.78625,0.17164
0.26694,0.64719,0.76195,0.55978,0.74533,0.77312,0.74614,0.16697
0.26642,0.63366,0.77462,0.55508,0.75606,0.81134,0.78637,0.16368
0.2659,0.65401,0.77442,0.55176,0.76679,0.85166,0.82079,0.16025
0.26539,0.67229,0.774,0.54844,0.76124,0.80561,0.82208,0.15824
0.26348,0.63934,0.7621,0.54512,0.75325,0.81117,0.789,0.15704
0.25271,0.66222,0.77037,0.5418,0.74525,0.81316,0.789,0.15479
0.24194,0.65264,0.75953,0.53847,0.72512,0.80075,0.789,0.15477
0.23117,0.62836,0.73648,0.53515,0.7032,0.77466,0.74216,0.15599
0.2204,0.64369,0.67718,0.53183,0.68128,0.72846,0.72009,0.15584
0.20964,0.62205,0.54615,0.52851,0.68164,0.72188,0.70129,0.15704
0.20081,0.6263,0.39975,0.52519,0.68526,0.74914,0.71751,0.15916
0.20464,0.66604,0.41584,0.52186,0.69711,0.8073,0.75426,0.16384
0.20847,0.64667,0.39353,0.51854,0.71016,0.81204,0.79777,0.16701
0.2123,0.64349,0.40742,0.51522,0.72322,0.78856,0.7686,0.17251
0.16221,0.64802,0.40327,0.5119,0.73032,0.79221,0.77154,0.17835
0.23297,0.65006,0.42118,0.50858,0.72738,0.79106,0.79391,0.18713
0.2341,0.66856,0.42503,0.50525,0.72444,0.76578,0.76576,0.19605
0.23524,0.63907,0.43341,0.50193,0.7215,0.7744,0.7664,0.20505
0.23638,0.66292,0.42831,0.50167,0.71879,0.7698,0.75872,0.20952
0.23751,0.63818,0.39764,0.50488,0.71699,0.75037,0.73342,0.21724
0.23865,0.64492,0.42705,0.50808,0.71519,0.78047,0.76909,0.22518
0.23978,0.6689,0.41248,0.51129,0.71339,0.7976,0.78425,0.23545
0.24092,0.65814,0.34141,0.51449,0.71159,0.75763,0.76273,0.24101
0.24206,0.63964,0.41902,0.5177,0.70714,0.8161,0.79727,0.2442
